group,group_label,stratum,node_count,pe_score_mean,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,step4_6_rmse_avg_mean,step4_6_rmse_avg_std,step6_rmse_mean,step6_rmse_std,rmse_peak_mean,rmse_peak_std,mae_peak_mean,mae_peak_std
base_hw,No-PE backbone,all_nodes,95,0.6591928038680763,10.937954114677815,0.3353133965757687,7.561810958740584,0.1968055509534271,54.59359804315036,3.0108284108542884,12.681466515626584,0.4843413966940003,13.610031014166797,0.6095958147201938,13.829294964837842,1.0946862837492854,9.03762401658692,0.6961253903183566
base_hw,No-PE backbone,low_pe,32,0.6296577618146936,10.616954397172869,0.4205475971986904,7.236748042220459,0.2140163981530251,61.73989627325202,3.538542108481295,12.407489276390626,0.6131441962485876,13.401908708043443,0.7655746615121427,15.060839303035236,1.618913791054624,9.949281064031071,1.0129900532476142
base_hw,No-PE backbone,mid_pe,31,0.6588240977256529,10.45678874764746,0.3413123555748868,7.232216394311997,0.1870767295277385,50.5413521546729,2.32506319968015,12.142986187310695,0.4995567044450973,13.061669906442868,0.6365596960772131,13.149549447790957,1.1043888471853731,8.605333578267867,0.692627945325449
base_hw,No-PE backbone,high_pe,32,0.6890850299969316,11.683867068761453,0.2663762273126228,8.206168609550906,0.2003523068492695,51.372913017511216,3.241417536872888,13.438542618225426,0.3613606656728581,14.316873060624596,0.4476366227278081,13.584162493673036,0.7578697947869626,8.840007128298714,0.5153482844449367
pe_loss,Real PE-guided loss,all_nodes,95,0.6591928038680763,11.102117100135017,0.1482656117984273,7.796641516502812,0.1331370300876832,60.2902721473319,3.385698547845186,12.793908222628676,0.1606264483535987,13.683059179322202,0.1505899063383472,13.801033490609877,0.5895047373433832,9.020314841441133,0.4489270663778047
pe_loss,Real PE-guided loss,low_pe,32,0.6296577618146936,10.731075637777892,0.1667424987562217,7.452530426705891,0.1283831650663756,69.07955320246612,5.902067925981697,12.4740059546639,0.1727520714444314,13.437869468556531,0.1195786825654928,14.96563444493796,0.973941501192796,9.880077065052935,0.7164050592566873
pe_loss,Real PE-guided loss,mid_pe,31,0.6588240977256529,10.5812557425771,0.1135101730158507,7.424610267205275,0.1019848185856352,55.735814037364605,2.7953291298044323,12.197305032762523,0.1370305282482379,13.0638062296117,0.1788450321568666,13.244509438293,0.578871093342666,8.68809779920617,0.48808111324025
pe_loss,Real PE-guided loss,high_pe,32,0.6890850299969316,11.92865541473683,0.1855283040021745,8.501157879056722,0.1699046650255564,55.91312238622849,1.4926981556606205,13.6448859908843,0.2194213881548782,14.48794292304452,0.230962229891206,13.508409308965712,0.3516095949186415,8.775142839155022,0.2624018664505076
pe_loss_shuffle,Shuffled PE-guided loss,all_nodes,95,0.6591928038680763,11.137128666743289,0.158793917298623,7.718009129121441,0.0608153196936483,55.2419151525668,3.851295032178777,12.89230813746444,0.2573363195918594,13.814072842665434,0.3637381936528689,13.798555671218324,0.9082959916189064,8.926211288395848,0.7527493454317568
pe_loss_shuffle,Shuffled PE-guided loss,low_pe,32,0.6296577618146936,10.769545927380994,0.1814975145294326,7.341796588789646,0.0715284285930439,61.66097361261421,5.40468178444416,12.569489109824984,0.2924139742976019,13.561409550920766,0.4197914738204125,15.004829995624355,0.9235204471996088,9.744164974125468,0.8236733936008864
pe_loss_shuffle,Shuffled PE-guided loss,mid_pe,31,0.6588240977256529,10.648434864150984,0.2447819768137741,7.378242393307911,0.1203724732934456,51.12129435239729,3.2540719294449074,12.333879021420955,0.35078746299444,13.236716699624829,0.4496091133650109,13.255448104370975,0.9683890397478334,8.62498786328134,0.7549005675555811
pe_loss_shuffle,Shuffled PE-guided loss,high_pe,32,0.6890850299969316,11.932640691501808,0.0698409392370592,8.423370694772593,0.0332877970514048,52.81470809268361,3.134053177182502,13.712928547263836,0.1441769314613948,14.589432113764586,0.2373436884509971,13.470175832519182,0.8788172519527019,8.681399077480778,0.7165570168918867
