horizon,all_rmse,high_value_rmse,all_mae,high_value_mae,high_value_ratio,high_value_threshold
1,6.7451324,7.320102691650391,4.821674,4.882486820220947,0.1000410542737499,66.0
2,9.216373,10.578407287597656,6.5211773,6.8685383796691895,0.1000410542737499,66.0
3,10.908208,13.004220008850098,7.749365,8.710784912109375,0.10005747598324985,66.0
4,11.936609,14.910791397094727,8.527566,10.439946174621582,0.10005747598324985,66.0
5,12.914163,16.539854049682617,9.221652,11.6378755569458,0.10005747598324985,66.0
6,13.837242,18.094345092773438,9.953338,12.733292579650879,0.10005747598324985,66.0
