station_name,station_code,time_index,target,prediction,horizon
锦屏中学,3495A,100,11.0,12.851197242736816,6
锦屏中学,3495A,101,13.0,13.00463581085205,6
锦屏中学,3495A,102,18.0,15.606497764587402,6
锦屏中学,3495A,103,32.0,33.05435562133789,6
锦屏中学,3495A,104,26.0,39.747920989990234,6
锦屏中学,3495A,105,14.0,43.54541778564453,6
锦屏中学,3495A,106,24.0,51.14392852783203,6
锦屏中学,3495A,107,33.0,46.32548904418945,6
锦屏中学,3495A,108,31.000001907348633,36.939002990722656,6
锦屏中学,3495A,109,41.0,31.486486434936523,6
锦屏中学,3495A,110,10.0,15.9269380569458,6
锦屏中学,3495A,111,4.0,11.435096740722656,6
锦屏中学,3495A,112,4.0,10.84111213684082,6
锦屏中学,3495A,113,5.0,10.244606971740723,6
锦屏中学,3495A,114,11.0,12.177489280700684,6
锦屏中学,3495A,115,20.0,24.954362869262695,6
锦屏中学,3495A,116,22.0,27.624778747558594,6
锦屏中学,3495A,117,24.0,15.753259658813477,6
锦屏中学,3495A,118,22.0,9.000014305114746,6
锦屏中学,3495A,119,22.0,9.840578079223633,6
锦屏中学,3495A,120,18.0,9.394169807434082,6
锦屏中学,3495A,121,5.0,12.02669906616211,6
锦屏中学,3495A,122,18.0,13.452664375305176,6
锦屏中学,3495A,123,40.0,9.624900817871094,6
锦屏中学,3495A,124,37.0,15.627708435058594,6
锦屏中学,3495A,125,34.0,17.681514739990234,6
锦屏中学,3495A,126,40.0,22.366214752197266,6
锦屏中学,3495A,127,51.0,37.448211669921875,6
锦屏中学,3495A,128,52.0,46.18841552734375,6
锦屏中学,3495A,129,59.999996185302734,59.44461441040039,6
锦屏中学,3495A,130,61.000003814697266,54.03669738769531,6
锦屏中学,3495A,131,67.0,60.38762664794922,6
锦屏中学,3495A,132,67.0,56.547264099121094,6
锦屏中学,3495A,133,65.0,61.538185119628906,6
锦屏中学,3495A,134,61.000003814697266,63.10598373413086,6
锦屏中学,3495A,135,51.0,67.98413848876953,6
锦屏中学,3495A,136,46.0,52.19721984863281,6
